state_code,latitude,longitude,zip_code,id,city,Unnamed: 6,name,status,labels,founded_at,closed_at,first_funding_at,last_funding_at,age_first_funding_year,age_last_funding_year,age_first_milestone_year,age_last_milestone_year,relationships,funding_rounds,funding_total_usd,milestones,state_code.1,is_CA,is_NY,is_MA,is_TX,is_otherstate,category_code,is_software,is_web,is_mobile,is_enterprise,is_advertising,is_gamesvideo,is_ecommerce,is_biotech,is_consulting,is_othercategory,object_id,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_top500
CA,37.787126,-122.39783,94105,c:1205,San Francisco,,Songbird,closed,0,2/1/2006,6/28/2013,10/2/2006,1/27/2010,0.6658,3.989,5.0849,7.3699,27,3,11015719,4,CA,1,0,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,c:1205,1,0,1,0,0,0,2.0,1
MA,42.492256,-71.13454899999999,1864,c:12052,North Reading,,Kiva Systems,acquired,1,1/1/2003,,1/1/2003,5/24/2006,0.0,3.3945,6.9781,9.2192,13,2,11600000,3,MA,0,0,1,0,0,hardware,0,0,0,0,0,0,0,0,0,1,c:12052,0,0,1,0,1,0,2.0,1
NY,40.729839,-73.991781,10003,c:12071,New York,New York NY 10003,Xtify Inc.,acquired,1,4/1/2009,,5/1/2010,2/7/2012,1.0822,2.8548,1.611,4.5096,9,2,5686383,3,NY,0,1,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,c:12071,0,0,1,0,0,0,2.0,0
CA,37.336191,-121.890583,95110,c:13465,San Jose,San Jose CA 95110,Cassatt,acquired,1,1/1/2003,,3/1/2006,3/1/2006,3.1644,3.1644,2.0027,2.0027,6,1,15000000,1,CA,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,c:13465,0,0,0,0,0,1,3.0,1
CA,37.758113,-122.414689,94114,c:135,San Francisco,,Pageflakes,acquired,1,1/1/2006,,5/1/2006,4/13/2008,0.3288,2.2822,1.0,7.8877,11,2,4100000,5,CA,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:135,0,0,1,0,0,0,1.0,1
MA,42.49739,-71.416794,1720,c:1350,Acton,,Blackwave,acquired,1,1/1/2006,,12/1/2006,9/30/2009,0.9151,3.7479,0.5808,4.8822,14,3,28000000,2,MA,0,0,1,0,0,network_hosting,0,0,0,0,0,0,0,0,0,1,c:1350,0,0,1,1,1,0,2.6667,1
CA,37.628328,-122.420814,94066,c:13504,San Bruno,,Planet Metrics,closed,0,1/1/2007,2/7/2011,11/12/2008,11/12/2008,1.8658,1.8658,0.0,1.8630000000000002,2,1,2300000,2,CA,1,0,0,0,0,cleantech,0,0,0,0,0,0,0,0,0,1,c:13504,0,0,1,0,0,0,2.0,1
CA,37.381876,-121.95993,95054,c:13681,Santa Clara,,SkyPilot Networks,acquired,1,1/1/2000,,1/1/2001,4/1/2008,1.0027,8.2548,,,6,4,68400000,0,CA,1,0,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,c:13681,1,0,1,0,1,1,4.0,1
CA,37.43841079999999,-121.9240273,95035,c:17775,Milpitas,,OpVista,closed,0,1/1/2000,8/1/2009,6/22/2006,5/7/2007,6.4767,7.3507,5.0055,5.0055,2,2,43000000,1,CA,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,c:17775,0,0,0,0,1,1,1.0,1
MA,42.395219,-71.145326,2140,c:17795,Cambridge,,Mazu Networks,acquired,1,1/1/2000,,2/7/2006,2/7/2006,6.1068,6.1068,8.0055,8.0055,7,1,7000000,1,MA,0,0,1,0,0,security,0,0,0,0,0,0,0,0,0,1,c:17795,1,0,0,0,0,0,5.0,1
TX,30.306590999999997,-97.826727,78746,c:17809,Austin,,Luminary Micro,acquired,1,1/1/2004,,2/1/2005,8/23/2007,1.0877,3.6438,3.4986,3.4986,2,3,44000000,1,TX,0,0,0,1,0,semiconductor,0,0,0,0,0,0,0,0,0,1,c:17809,0,0,1,1,1,0,4.0,1
WA,47.6026054,-122.28486509999999,98122,c:17857,Seattle,,Hidden City Games,closed,0,1/1/2004,9/28/2011,10/31/2007,10/31/2007,3.8329,3.8329,3.7507,3.7507,3,1,15000000,1,WA,0,0,0,0,1,other,0,0,0,0,0,0,0,0,0,1,c:17857,0,0,0,1,0,0,2.0,1
CA,59.335231799999995,18.0571206,95054,c:17884,Santa Clara,,Xelerated,acquired,1,1/1/2000,,4/20/2005,8/14/2008,5.3041,8.6247,,,4,3,53000000,0,CA,1,0,0,0,0,semiconductor,0,0,0,0,0,0,0,0,0,1,c:17884,0,0,0,0,1,1,4.6667,1
